"to_date","count_new_cases"
2020-05-19,57742
2020-05-20,18705
2020-05-21,749
2020-05-25,4988
2020-05-26,36031
2020-05-27,16553
2020-05-28,69262
2020-05-29,19573
2020-05-30,4442
2020-05-31,4987
2020-06-01,15675
2020-06-02,18540
2020-06-03,93802
2020-06-04,7621
2020-06-05,7268
2020-06-06,2554
2020-06-07,12772
2020-06-08,11111
2020-06-09,2484
2020-06-10,1336
2020-06-11,4055
2020-06-12,28101
2020-06-13,4486
2020-06-14,5916
2020-06-15,10746
2020-06-16,7377
2020-06-17,5101
2020-06-18,16209
2020-06-19,6546
2020-06-20,51302
2020-06-21,31174
2020-06-22,1310
2020-06-23,2538
2020-06-24,13019
2020-06-25,8639
2020-06-26,7026
2020-06-27,3504
2020-06-28,6097
2020-06-29,1533
2020-06-30,10242
2020-07-01,35499
2020-07-02,29804
2020-07-03,35457
2020-07-04,26473
2020-07-05,4882
2020-07-06,1531
2020-07-07,1733
2020-07-08,1116
2020-07-09,2187
2020-07-10,7387
2020-07-11,86820
2020-07-12,20616
2020-07-13,466
2020-07-14,1384
2020-07-15,9223
2020-07-16,15560
2020-07-17,1110
2020-07-18,4905
2020-07-19,6331
2020-07-20,20374
2020-07-21,8732
2020-07-22,17598
2020-07-23,15913
2020-07-24,54624
2020-07-25,15326
2020-07-26,10532
2020-07-27,4769
2020-07-28,4063
2020-07-29,2452
2020-07-30,5156
2020-07-31,5938
2020-08-01,26987
2020-08-02,4274
2020-08-03,3997
2020-08-04,789
2020-08-05,4550
2020-08-06,13832
2020-08-07,2202
2020-08-11,2209
2020-08-12,52828
2020-08-13,16281
2020-08-14,1434
2020-08-15,19115
2020-08-16,18377
2020-08-17,5149
2020-08-18,4541
2020-08-19,5238
2020-08-20,13898
2020-08-21,9146
2020-08-22,25790
2020-08-23,21471
2020-08-24,9698
2020-08-25,129
2020-08-26,5
2020-08-31,129
2020-09-01,18406
2020-09-02,45215
2020-09-03,15941
2020-09-05,2925
2020-09-06,20740
2020-09-07,5145
2020-09-08,31578
2020-09-09,60172
2020-09-10,4647
2020-09-11,11315
2020-09-12,20451
2020-09-13,10309
2020-09-14,4319
2020-09-15,3295
2020-09-16,20636
2020-09-17,5544
2020-09-18,3222
2020-09-19,6681
2020-09-20,884
2020-09-21,575
2020-09-22,666
2020-09-23,5525
2020-09-24,5322
2020-09-25,213
2020-09-26,330
2020-09-27,643
2020-09-28,2863
2020-09-29,368
2020-09-30,2676
2020-10-01,10333
2020-10-02,25968
2020-10-03,10542
2020-10-04,13253
2020-10-05,26696
2020-10-06,38984
2020-10-07,3953
2020-10-08,16506
2020-10-09,60836
2020-10-10,4976
2020-10-11,47876
2020-10-12,11766
2020-10-13,263
2020-10-14,218
2020-10-15,4174
2020-10-16,67091
2020-10-17,43568
2020-10-18,34878
2020-10-19,10367
2020-10-20,7024
2020-10-21,5086
2020-10-22,911
2020-10-23,6334
2020-10-24,6644
2020-10-25,26271
2020-10-26,305
2020-10-27,99
2020-10-28,350
2020-10-29,16988
2020-10-30,6960
2020-10-31,1144
2020-11-02,161
2020-11-03,35955
2020-11-04,32465
2020-11-07,21158
2020-11-08,11308
2020-11-09,13364
2020-11-10,15593
2020-11-11,5795
2020-11-12,69426
2020-11-13,1410
2020-11-14,1980
2020-11-15,15829
2020-11-16,44335
2020-11-17,10435
2020-11-18,23340
2020-11-19,24339
2020-11-20,15593
2020-11-21,6857
2020-11-22,9169
2020-11-23,4668
2020-11-24,1308
2020-11-27,441
2020-11-28,43324
2020-11-29,16557
2020-11-30,8673
2020-12-01,42319
2020-12-02,4847
2020-12-05,915
2020-12-06,97858
2020-12-07,67640
2020-12-08,34585
2020-12-09,77596
2020-12-10,70586
2020-12-11,114824
2020-12-12,57000
2020-12-13,11532
2020-12-14,2879
2020-12-15,1158
2020-12-18,15767
2020-12-19,104426
2020-12-20,148274
2020-12-21,12089
2020-12-22,21960
2020-12-23,9914
2020-12-24,15637
2020-12-25,1329
2020-12-26,4871
2020-12-27,6945
2020-12-28,7301
2020-12-29,2041
2020-12-30,22010
2020-12-31,3817
2021-01-01,90808
2021-01-02,48472
2021-01-03,54181
2021-01-04,12671
2021-01-05,11873
2021-01-06,38389
2021-01-07,6967
2021-01-08,1599
2021-01-09,68020
2021-01-10,34838
2021-01-11,25709
2021-01-12,11425
2021-01-13,26998
2021-01-14,4185
2021-01-15,9515
2021-01-16,151871
2021-01-17,38956
2021-01-18,82349
2021-01-19,43064
2021-01-20,21026
2021-01-21,14837
2021-01-22,22076
2021-01-23,7096
2021-01-24,8456
2021-01-25,5769
2021-01-26,4956
2021-01-27,1883
2021-01-28,448
2021-01-29,883
2021-01-30,1329
2021-01-31,513
2021-02-01,148042
2021-02-02,53881
2021-02-03,10135
2021-02-04,14910
2021-02-06,7614
2021-02-07,14400
2021-02-08,10506
2021-02-09,20809
2021-02-10,39752
2021-02-11,30511
2021-02-12,30147
2021-02-13,11490
2021-02-14,29750
2021-02-15,8411
2021-02-16,119136
2021-02-17,87141
2021-02-18,26505
2021-02-19,8746
2021-02-20,1235
2021-02-21,691
2021-02-22,3532
2021-02-23,5339
2021-02-24,9564
2021-02-25,3022
2021-02-26,6959
2021-02-27,6414
2021-02-28,4894
2021-03-01,124203
2021-03-02,13687
2021-03-03,920
2021-03-06,103447
2021-03-07,135167
2021-03-08,77252
2021-03-09,28890
2021-03-10,30154
2021-03-11,30467
2021-03-12,35316
2021-03-13,57544
2021-03-14,6726
2021-03-15,23835
2021-03-16,16679
2021-03-17,16536
2021-03-18,22710
2021-03-19,32323
2021-03-20,38069
2021-03-21,43473
2021-03-22,23170
2021-03-23,26745
2021-03-24,22413
2021-03-25,30400
2021-03-26,23192
2021-03-27,52056
2021-03-28,5427
2021-03-29,2515
2021-03-30,1592
2021-03-31,1482
2021-04-01,1031
2021-04-02,3896
2021-04-03,65533
2021-04-04,48275
2021-04-05,35779
2021-04-06,35658
2021-04-07,29323
2021-04-08,33485
2021-04-09,29277
2021-04-10,26604
2021-04-11,60344
2021-04-12,2970
2021-04-13,8116
2021-04-14,74969
2021-04-15,41528
2021-04-16,29783
2021-04-17,21563
2021-04-18,6632
2021-04-19,14902
2021-04-20,12357
2021-04-21,10281
2021-04-22,4951
2021-04-23,15942
2021-04-24,24582
2021-04-25,28502
2021-04-26,19539
2021-04-27,23715
2021-04-28,21813
2021-04-29,16201
2021-04-30,17211
2021-05-01,27144
2021-05-02,23085
2021-05-03,10514
2021-05-04,11146
2021-05-05,8153
2021-05-06,6335
2021-05-09,2320
2021-05-10,36442
2021-05-11,17336
2021-05-12,3349
2021-05-13,221
2021-05-14,163
2021-05-15,213
2021-05-16,210
2021-05-17,7264
2021-05-18,25168
2021-05-19,9623
2021-05-20,11337
2021-05-21,8808
2021-05-22,8863
2021-05-23,7004
2021-05-24,6613
2021-05-25,6755
2021-05-26,10452
2021-05-27,12023
2021-05-28,8372
2021-05-29,1579
2021-05-30,3895
2021-05-31,6328
2021-06-01,16097
2021-06-02,13592
2021-06-03,24970
2021-06-05,10259
2021-06-08,622
2021-06-09,2398
2021-06-10,3882
2021-06-11,8501
2021-06-12,3583
2021-06-13,15874
2021-06-14,8857
2021-06-15,2477
2021-06-16,2387
2021-06-18,3898
2021-06-19,2705
2021-06-20,16057
2021-06-22,8412
2021-06-23,118
2021-06-28,8148
2021-06-29,8469
2021-06-30,1157
2021-07-03,22641
2021-07-04,4170
2021-07-05,78230
2021-07-06,8671
2021-07-07,72884
2021-07-08,23782
2021-07-09,35684
2021-07-10,6658
2021-07-11,3469
2021-07-12,1104
2021-07-13,1064
2021-07-14,4787
2021-07-15,2883
