to_date,works
09/06/2017,10817
10/06/2017,1236
11/06/2017,134
12/06/2017,2960
13/06/2017,14096
14/06/2017,10919
15/06/2017,6641
16/06/2017,9759
17/06/2017,1447
18/06/2017,361
19/06/2017,5478
20/06/2017,17026
21/06/2017,46412
22/06/2017,14047
23/06/2017,6467
24/06/2017,1240
26/06/2017,5108
27/06/2017,6925
28/06/2017,13990
29/06/2017,9598
30/06/2017,7461
01/07/2017,3471
02/07/2017,284
03/07/2017,6267
04/07/2017,2971
05/07/2017,5556
06/07/2017,14481
07/07/2017,35197
08/07/2017,2322
09/07/2017,504
10/07/2017,1791
11/07/2017,7565
12/07/2017,6974
13/07/2017,12185
14/07/2017,12606
15/07/2017,1243
16/07/2017,455
17/07/2017,7112
18/07/2017,3498
19/07/2017,8340
20/07/2017,3635
21/07/2017,17450
22/07/2017,3614
23/07/2017,268
24/07/2017,5251
25/07/2017,9044
26/07/2017,12808
27/07/2017,1776
28/07/2017,5495
29/07/2017,4306
30/07/2017,69
31/07/2017,2986
01/08/2017,13009
02/08/2017,5179
03/08/2017,5651
04/08/2017,6066
05/08/2017,5617
06/08/2017,764
07/08/2017,8294
08/08/2017,5348
09/08/2017,8678
10/08/2017,19105
11/08/2017,7729
12/08/2017,2997
13/08/2017,298
14/08/2017,3556
15/08/2017,7577
16/08/2017,4660
17/08/2017,10882
18/08/2017,6220
19/08/2017,5669
20/08/2017,333
21/08/2017,3848
22/08/2017,4338
23/08/2017,8613
24/08/2017,9660
25/08/2017,8588
26/08/2017,9742
27/08/2017,360
28/08/2017,6099
29/08/2017,28885
30/08/2017,2279
31/08/2017,21582
01/09/2017,23737
02/09/2017,3678
03/09/2017,386
04/09/2017,2406
05/09/2017,12595
06/09/2017,2982
07/09/2017,5157
08/09/2017,17415
09/09/2017,1859
10/09/2017,657
11/09/2017,10897
12/09/2017,9170
13/09/2017,6934
14/09/2017,10470
15/09/2017,13982
16/09/2017,5179
17/09/2017,739
18/09/2017,11592
19/09/2017,27854
20/09/2017,10144
21/09/2017,19432
22/09/2017,39791
23/09/2017,1673
24/09/2017,684
25/09/2017,6759
26/09/2017,7268
27/09/2017,24333
28/09/2017,14729
29/09/2017,10477
30/09/2017,3990
01/10/2017,602
02/10/2017,6111
03/10/2017,9405
04/10/2017,10458
05/10/2017,28083
06/10/2017,13954
07/10/2017,46091
08/10/2017,1168
09/10/2017,31890
10/10/2017,24261
11/10/2017,8342
12/10/2017,6450
13/10/2017,8048
14/10/2017,3241
15/10/2017,458
16/10/2017,7724
17/10/2017,10509
18/10/2017,22734
19/10/2017,8995
20/10/2017,6028
23/10/2017,20194
24/10/2017,10608
25/10/2017,16063
26/10/2017,7281
27/10/2017,8645
28/10/2017,3803
29/10/2017,287
30/10/2017,9123
31/10/2017,21617
01/11/2017,14160
02/11/2017,9146
03/11/2017,12216
04/11/2017,4081
05/11/2017,241
06/11/2017,12471
07/11/2017,5392
08/11/2017,7923
09/11/2017,10904
10/11/2017,13228
11/11/2017,5070
12/11/2017,483
13/11/2017,6908
14/11/2017,9323
15/11/2017,9446
16/11/2017,10040
17/11/2017,21686
18/11/2017,5986
19/11/2017,197
20/11/2017,10125
21/11/2017,7580
22/11/2017,12286
23/11/2017,9228
24/11/2017,4601
25/11/2017,527
26/11/2017,97
27/11/2017,9122
28/11/2017,3688
29/11/2017,8187
30/11/2017,2889
01/12/2017,11498
02/12/2017,5841
03/12/2017,489
04/12/2017,10741
05/12/2017,32895
06/12/2017,6329
07/12/2017,20189
08/12/2017,29885
09/12/2017,1114
10/12/2017,631
11/12/2017,3688
12/12/2017,12862
13/12/2017,8521
14/12/2017,8739
15/12/2017,8246
16/12/2017,4189
17/12/2017,691
18/12/2017,43380
19/12/2017,10438
20/12/2017,9800
21/12/2017,22441
22/12/2017,10623
23/12/2017,721
24/12/2017,10546
25/12/2017,100
26/12/2017,150
27/12/2017,385
28/12/2017,481
29/12/2017,237
30/12/2017,332
31/12/2017,341
01/01/2018,161
02/01/2018,3997
03/01/2018,16037
04/01/2018,34526
05/01/2018,8743
06/01/2018,4992
07/01/2018,442
08/01/2018,2869
09/01/2018,19748
10/01/2018,16860
11/01/2018,7534
12/01/2018,34983
13/01/2018,4084
14/01/2018,367
15/01/2018,5772
16/01/2018,5281
17/01/2018,6938
18/01/2018,3963
19/01/2018,6384
20/01/2018,5833
23/01/2018,22935
24/01/2018,2925
25/01/2018,8584
26/01/2018,17954
27/01/2018,2878
28/01/2018,572
29/01/2018,4045
30/01/2018,11658
31/01/2018,10521
01/02/2018,7233
02/02/2018,9757
03/02/2018,2016
04/02/2018,235
05/02/2018,15625
06/02/2018,9125
07/02/2018,11310
08/02/2018,19034
09/02/2018,7379
10/02/2018,6331
11/02/2018,470
12/02/2018,8691
13/02/2018,6604
14/02/2018,5149
15/02/2018,9042
16/02/2018,6886
17/02/2018,1640
18/02/2018,744
19/02/2018,13818
20/02/2018,14665
21/02/2018,5768
22/02/2018,10384
23/02/2018,15394
24/02/2018,1207
25/02/2018,194
26/02/2018,7700
27/02/2018,4994
28/02/2018,15511
01/03/2018,8838
02/03/2018,16216
03/03/2018,8060
04/03/2018,348
05/03/2018,7455
06/03/2018,5992
07/03/2018,3983
08/03/2018,15460
09/03/2018,8393
10/03/2018,206
12/03/2018,8171
13/03/2018,25941
14/03/2018,17324
15/03/2018,12748
16/03/2018,29057
17/03/2018,2780
18/03/2018,574
19/03/2018,13516
20/03/2018,7343
21/03/2018,3870
22/03/2018,17287
23/03/2018,6928
24/03/2018,1706
25/03/2018,1867
26/03/2018,11632
27/03/2018,6544
28/03/2018,19971
29/03/2018,7748
30/03/2018,4438
31/03/2018,1050
01/04/2018,200
02/04/2018,5579
03/04/2018,9205
04/04/2018,10740
05/04/2018,10461
06/04/2018,24944
07/04/2018,4089
08/04/2018,111
09/04/2018,6224
10/04/2018,18637
11/04/2018,7693
12/04/2018,16472
13/04/2018,26050
14/04/2018,15638
15/04/2018,131
16/04/2018,9548
17/04/2018,11793
18/04/2018,9724
19/04/2018,8731
20/04/2018,13706
21/04/2018,12102
22/04/2018,510
23/04/2018,17295
24/04/2018,8913
25/04/2018,13904
26/04/2018,25824
27/04/2018,10987
28/04/2018,5632
29/04/2018,1041
30/04/2018,33434
01/05/2018,4861
02/05/2018,16024
03/05/2018,11708
04/05/2018,8045
05/05/2018,2395
06/05/2018,127
07/05/2018,7586
08/05/2018,26124
09/05/2018,4684
10/05/2018,17812
11/05/2018,18120
12/05/2018,2323
13/05/2018,936
14/05/2018,16270
15/05/2018,4576
16/05/2018,11317
17/05/2018,9937
18/05/2018,19937
19/05/2018,3791
20/05/2018,89
21/05/2018,1925
22/05/2018,17454
23/05/2018,10193
24/05/2018,15830
25/05/2018,19045
26/05/2018,815
27/05/2018,87
28/05/2018,1280
29/05/2018,2799
30/05/2018,12098
31/05/2018,12318
01/06/2018,9570
02/06/2018,2714
03/06/2018,514
04/06/2018,3479
05/06/2018,23892
06/06/2018,8643
07/06/2018,14096
08/06/2018,35051
09/06/2018,7021
10/06/2018,88
11/06/2018,16451
12/06/2018,9588
13/06/2018,11543
14/06/2018,11641
15/06/2018,13380
16/06/2018,2350
17/06/2018,202
18/06/2018,9870
19/06/2018,13799
20/06/2018,6223
21/06/2018,20564
22/06/2018,14781
23/06/2018,1548
24/06/2018,74
25/06/2018,10483
26/06/2018,5745
27/06/2018,12966
28/06/2018,7934
29/06/2018,12539
30/06/2018,1931
01/07/2018,199
